year,month,larceny,vandalism,sex.offense.force,drug,embezz,burglary,robbery,veh.theft,assault,dis.cond,warrants,trespass,miss.pers,fraud,prostitution,susp.occ,drunk,forgery,loitering,fam.off,weapon,arson,kidnapping,stolen.prop,second.codes,gambling,dui,runaway,liquor,bribery,bad.checks,suicide,extortion,sex.offense.non.force,porn,trea,total
2017,3,3860,874,86,317,18,566,285,572,1185,44,463,185,327,205,12,617,27,53,2,5,146,33,20,71,202,2,31,8,5,7,7,6,8,8,0,0,10257
2017,4,3765,734,99,328,13,480,312,552,1125,46,423,145,407,225,94,570,28,46,2,4,130,28,18,67,186,0,30,10,12,5,0,6,5,3,0,0,9898
2017,5,4080,888,89,319,15,495,272,470,1108,38,437,133,406,212,58,592,36,53,6,2,132,26,17,67,189,0,29,24,11,1,1,5,8,4,0,0,10223
2017,6,4092,862,87,204,11,426,267,465,1120,22,377,108,391,202,56,506,30,38,4,4,127,27,18,62,150,1,18,36,6,4,4,8,5,4,0,0,9742
2017,7,4170,979,65,243,11,425,285,500,1139,25,418,153,404,222,32,453,24,38,5,4,161,41,14,94,180,0,29,53,7,8,2,4,5,1,2,1,10197
2017,8,3824,797,94,269,15,432,280,457,1293,27,456,123,396,203,40,517,30,43,3,3,122,21,19,66,166,1,15,20,4,5,0,6,2,9,1,0,9759
2017,9,3790,796,93,230,15,484,284,436,1188,34,425,124,383,249,60,495,17,38,2,3,128,20,19,50,184,1,23,27,4,4,1,18,7,1,0,0,9633
2017,10,4464,789,88,258,15,499,302,580,1183,38,435,120,335,222,58,464,29,38,2,2,131,32,19,66,164,6,18,14,5,2,2,9,6,0,0,0,10395
2017,11,4222,740,94,243,16,489,254,319,1089,28,392,117,358,184,17,430,24,31,2,5,154,20,18,56,147,1,20,18,7,5,0,5,5,4,0,0,9514
2017,12,4070,699,73,307,18,552,281,389,1082,20,396,110,389,203,44,436,37,50,1,5,173,38,14,59,142,0,28,16,3,11,2,4,3,3,1,0,9659
2018,1,3820,702,55,333,15,530,257,365,1082,17,411,132,309,181,9,449,18,43,6,3,176,26,11,77,157,3,24,18,4,3,3,5,2,2,1,0,9249
2018,2,2914,573,71,320,11,437,258,323,957,24,332,92,264,174,9,384,13,43,0,4,132,19,11,73,140,2,15,20,3,6,0,4,3,1,0,0,7632
2018,3,3104,661,88,370,9,476,252,356,1098,23,355,111,321,230,9,366,22,50,7,2,140,21,23,54,138,3,25,26,4,3,2,5,2,3,0,0,8359
2018,4,2922,642,73,308,9,471,212,357,1061,19,382,133,273,179,14,371,18,50,3,1,112,26,21,44,133,0,23,18,1,3,4,4,4,5,1,0,7897
2018,5,872,218,32,151,1,184,92,74,401,12,138,46,97,45,7,144,13,9,0,3,59,5,7,15,74,1,5,5,2,2,0,0,1,0,1,0,2716
2018,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
